#CMD# netstat -a
#TSP#  20090108-170059 
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State      
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55458 ESTABLISHED 
tcp        0      0 localhost.localdomain:43409 localhost.loca:UNI532_CDJ_S ESTABLISHED 
tcp        0      0 localhost.localdomain:43490 localhost.loca:UNI532_CDJ_S ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60573 ESTABLISHED 
tcp        0      0 localhost.localdomain:43475 localhost.loca:UNI532_CDJ_S ESTABLISHED 
tcp        0      0 localhost.localdomain:43483 localhost.loca:UNI532_CDJ_S ESTABLISHED 
tcp        0      0 localhost.localdomain:48804 localhost.local:TST511_IO_I ESTABLISHED 
tcp        0      0 casdlsup06:57484            casdlsup06:52004            TIME_WAIT   
tcp        0      0 localhost.local:FLS520_IO_S localhost.localdomain:33688 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55466 ESTABLISHED 
tcp        0      0 localhost.localdomain:42351 localhost.loca:UNI532_CDJ_I ESTABLISHED 
tcp        0      0 localhost.localdomain:42367 localhost.loca:UNI532_CDJ_I ESTABLISHED 
tcp        0      0 localhost.localdomain:42360 localhost.loca:UNI532_CDJ_I ESTABLISHED 
tcp        0      0 localhost.localdomain:42304 localhost.loca:UNI532_CDJ_I ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55473 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48306            ESTABLISHED 
tcp        0      0 casdlsup06:47914            casdlsup06:UNI532_CDJ_X     ESTABLISHED 
tcp        0      0 localhost.local:FLS530_IO_A localhost.localdomain:44470 ESTABLISHED 
tcp        0      0 casdlsup06:57382            casdlsup06:TST530_CDJ_X     ESTABLISHED 
tcp        0      0 localhost.localdomain:35929 localhost.locald:TST500_DQM ESTABLISHED 
tcp        0      0 localhost.localdomain:35943 localhost.locald:TST500_DQM ESTABLISHED 
tcp        0      0 casdlsup06:33062            casdlsup06:4184             TIME_WAIT   
tcp        0      0 casdlsup06:TST530_CDJ_X     support7:mps-raft           ESTABLISHED 
tcp        0      0 localhost.localdomain:52004 localhost.localdomain:54551 ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60607 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48258            ESTABLISHED 
tcp        0      0 casdlsup06:51332            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51333            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51334            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51335            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51328            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51329            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51331            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51340            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51341            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51342            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51343            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51336            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51337            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51339            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51344            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51345            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60602 ESTABLISHED 
tcp        0      0 casdlsup06:51309            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51310            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51316            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51312            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51313            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51314            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51315            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51324            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51325            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51326            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51327            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51320            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51321            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 casdlsup06:51323            casdlsup06:TST530_IO_X      TIME_WAIT   
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55429 ESTABLISHED 
tcp        0      0 casdlsup06:FLS520_IO_I      casdlsup06:54713            ESTABLISHED 
tcp        0      0 localhost.localdomain:37277 localhost.local:TST511_IO_S ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60596 ESTABLISHED 
tcp        0      0 casdlsup06:TST530_IO_X      casdlsup06:48267            ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55436 ESTABLISHED 
tcp        0      0 localhost.localdomain:44470 localhost.local:FLS530_IO_A ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60593 ESTABLISHED 
tcp        0      0 localhost.localdomain:54551 localhost.localdomain:52004 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_S localhost.localdomain:43409 ESTABLISHED 
tcp        0      0 casdlsup06:45298            casdlsup06:FLS530_IO_A      ESTABLISHED 
tcp        0      0 localhost.localdomain:40211 localhost.loca:UNI532_CDJ_X ESTABLISHED 
tcp        0      0 localhost.localdomain:40199 localhost.loca:UNI532_CDJ_X ESTABLISHED 
tcp        0      0 localhost.localdomain:40205 localhost.loca:UNI532_CDJ_X ESTABLISHED 
tcp        0      0 localhost.localdomain:46548 localhost.local:FLS530_IO_X ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55445 ESTABLISHED 
tcp        0      0 localhost.localdomain:46547 localhost.local:FLS530_IO_X ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60587 ESTABLISHED 
tcp        0      0 localhost.localdomain:40170 localhost.loca:UNI532_CDJ_X ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60582 ESTABLISHED 
tcp        0      0 casdlsup06:37394            casdlsup06:UNI532_CDJ_I     ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_I localhost.localdomain:48804 ESTABLISHED 
tcp        0      0 localhost.local:PRE530_IO_X localhost.localdomain:55452 ESTABLISHED 
tcp        0      0 localhost.local:TST500_IO_X localhost.localdomain:60578 ESTABLISHED 
tcp        0      0 localhost.localdomain:8005  *:*                         LISTEN      
tcp        0      0 *:casdlsup06_REP_X          *:*                         LISTEN      
tcp        0      0 *:8009                      *:*                         LISTEN      
tcp        0      0 *:webcache                  *:*                         LISTEN      
